Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,_L_NP_04_01_01_1,,PT,,39.2
2019,_L_NP_04_01_01_1,NP1,PT,NP1,43.1
2019,_L_NP_04_01_01_1,NP2,PT,NP2,25.7
2019,_L_NP_04_01_01_1,NP3,PT,NP3,51.3
2019,_L_NP_04_01_01_1,NP4,PT,NP4,53.4
2019,_L_NP_04_01_01_1,NP5,PT,NP5,36.5
2019,_L_NP_04_01_01_1,NP6,PT,NP6,45.6
2019,_L_NP_04_01_01_1,NP7,PT,NP7,30.2
2019,_L_NP_04_01_01_2,,PT,,14.5
2019,_L_NP_04_01_01_3,,PT,,19.9
2019,_L_NP_04_01_01_4,,PT,,36.8
2019,_L_NP_04_01_01_4,NP1,PT,NP1,35.0
2019,_L_NP_04_01_01_4,NP2,PT,NP2,32.1
2019,_L_NP_04_01_01_4,NP3,PT,NP3,50.3
2019,_L_NP_04_01_01_4,NP4,PT,NP4,51.6
2019,_L_NP_04_01_01_4,NP5,PT,NP5,35.1
2019,_L_NP_04_01_01_4,NP6,PT,NP6,33.0
2019,_L_NP_04_01_01_4,NP7,PT,NP7,21.8
2019,_L_NP_04_01_01_5,,PT,,13.7
2019,_L_NP_04_01_01_6,,PT,,19.7
