Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2019,SP_DYN_MRBF15,,F,PT,,7.9
2019,SP_DYN_MRBF15,NP1,F,PT,NP1,6.6
2019,SP_DYN_MRBF15,NP2,F,PT,NP2,14.2
2019,SP_DYN_MRBF15,NP3,F,PT,NP3,2.2
2019,SP_DYN_MRBF15,NP4,F,PT,NP4,6.8
2019,SP_DYN_MRBF15,NP5,F,PT,NP5,8.9
2019,SP_DYN_MRBF15,NP6,F,PT,NP6,12.0
2019,SP_DYN_MRBF15,NP7,F,PT,NP7,8.2
2019,SP_DYN_MRBF15,,M,PT,,1.5
2019,SP_DYN_MRBF15,NP1,M,PT,NP1,0.0
2019,SP_DYN_MRBF15,NP2,M,PT,NP2,2.1
2019,SP_DYN_MRBF15,NP3,M,PT,NP3,1.2
2019,SP_DYN_MRBF15,NP4,M,PT,NP4,0.0
2019,SP_DYN_MRBF15,NP5,M,PT,NP5,2.4
2019,SP_DYN_MRBF15,NP6,M,PT,NP6,1.7
2019,SP_DYN_MRBF15,NP7,M,PT,NP7,3.0
2019,SP_DYN_MRBF18,,F,PT,,32.8
2019,SP_DYN_MRBF18,NP1,F,PT,NP1,28.5
2019,SP_DYN_MRBF18,NP2,F,PT,NP2,46.0
2019,SP_DYN_MRBF18,NP3,F,PT,NP3,19.7
2019,SP_DYN_MRBF18,NP4,F,PT,NP4,35.7
2019,SP_DYN_MRBF18,NP5,F,PT,NP5,33.7
2019,SP_DYN_MRBF18,NP6,F,PT,NP6,44.3
2019,SP_DYN_MRBF18,NP7,F,PT,NP7,35.6
2019,SP_DYN_MRBF18,,M,PT,,9.0
2019,SP_DYN_MRBF18,NP1,M,PT,NP1,8.1
2019,SP_DYN_MRBF18,NP2,M,PT,NP2,7.8
2019,SP_DYN_MRBF18,NP3,M,PT,NP3,7.2
2019,SP_DYN_MRBF18,NP4,M,PT,NP4,2.1
2019,SP_DYN_MRBF18,NP5,M,PT,NP5,11.4
2019,SP_DYN_MRBF18,NP6,M,PT,NP6,17.0
2019,SP_DYN_MRBF18,NP7,M,PT,NP7,17.5
