Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,SH_STA_STNT,,PT,,37.4
2019,SH_STA_STNT,,PT,,31.5
2019,SH_STA_STNT,NP1,PT,NP1,24.9
2019,SH_STA_STNT,NP2,PT,NP2,34.2
2019,SH_STA_STNT,NP3,PT,NP3,22.9
2019,SH_STA_STNT,NP4,PT,NP4,22.6
2019,SH_STA_STNT,NP5,PT,NP5,35.5
2019,SH_STA_STNT,NP6,PT,NP6,47.8
2019,SH_STA_STNT,NP7,PT,NP7,40.9
2014,_L_NP_02_02_01_1,,PT,,15.8
2019,_L_NP_02_02_01_1,,PT,,11.8
2019,_L_NP_02_02_01_1,NP1,PT,NP1,8.0
2019,_L_NP_02_02_01_1,NP2,PT,NP2,14.8
2019,_L_NP_02_02_01_1,NP3,PT,NP3,7.3
2019,_L_NP_02_02_01_1,NP4,PT,NP4,6.4
2019,_L_NP_02_02_01_1,NP5,PT,NP5,13.0
2019,_L_NP_02_02_01_1,NP6,PT,NP6,20.5
2019,_L_NP_02_02_01_1,NP7,PT,NP7,15.4
